layout,variant,seed,step,b1_true,b1_hat,b1_conf,b1_correct,metric,decode_r2,n_cells
open,,3,0,0,0,1.0067239222591864,1,0.4075546090577298,0.8512201940270483,324
open,,3,1000,0,1,1.9757404156717204,0,0.5511197032257125,0.9725992750234334,324
open,,3,16000,0,0,1.5088511762148091,1,0.7854451011956779,0.9980077100058014,324
open,,3,2000,0,1,1.286250200929818,0,0.6260229324226787,0.9908033237708505,324
open,,3,250,0,1,1.557019141735354,0,0.37654653737167804,0.7470455347418244,324
open,,3,32000,0,0,1.2819900296206592,1,0.7849508655404782,0.9981028009574346,324
open,,3,4000,0,1,1.4073419261926337,0,0.7148845116799012,0.9961463106108024,324
open,,3,500,0,1,1.2431582281096523,0,0.45213296960413046,0.9113010669813051,324
open,,3,8000,0,1,1.0472123489581726,0,0.7476529757003596,0.9978304764993535,324
open,,3,80000,0,1,1.0155388887432817,0,0.7828852341701836,0.9982590085317733,324
open,,3,final,0,1,1.0270973807220876,0,0.7828827188771892,0.9982476124988751,324
open,,4,0,0,2,1.0675132089918224,0,0.38481253909278623,0.7525141997006408,324
open,,4,1000,0,1,1.7728670187161308,0,0.550802275311474,0.9709185332593936,324
open,,4,16000,0,0,1.3480546680522998,1,0.7850208202826147,0.9982433500448794,324
open,,4,2000,0,1,1.3896219802637506,0,0.66087581420765,0.9933746008706766,324
open,,4,250,0,1,1.3214711009207727,0,0.35710050424104156,0.8895740430713841,324
open,,4,32000,0,0,1.1946402284487432,1,0.7887191497696746,0.9983739801659416,324
open,,4,4000,0,1,1.746826057797759,0,0.7360298371602394,0.9963061117501892,324
open,,4,500,0,2,1.2290238056493394,0,0.42600406769741417,0.9181403192878014,324
open,,4,8000,0,0,1.3980889171199582,1,0.7807120489879144,0.9980778958570798,324
open,,4,80000,0,0,1.0689057950312142,1,0.7929547318371362,0.998604130407027,324
open,,4,final,0,0,1.0829509167344478,1,0.7929992503791014,0.998588732957438,324
open,,5,0,0,1,1.3670169456929528,0,0.43026862628502033,0.8273373610821022,324
open,,5,1000,0,3,1.218867354175866,0,0.5448774269496374,0.9663217604183696,324
open,,5,16000,0,1,1.052534081408632,0,0.777224091092564,0.997924169682521,324
open,,5,2000,0,1,1.9684932907196155,0,0.6517241155676974,0.9903899710678224,324
open,,5,250,0,1,1.2388085711238843,0,0.3875786310020572,0.8872452963583111,324
open,,5,32000,0,0,1.2362441438779936,1,0.7911475829793829,0.9985304254583752,324
open,,5,4000,0,1,1.43013392786211,0,0.7510735011132202,0.9961638128219106,324
open,,5,500,0,1,1.615645623468081,0,0.44647746972460095,0.9440458914724909,324
open,,5,8000,0,1,1.3585157488231039,0,0.7906462193117301,0.9977386308452262,324
open,,5,80000,0,0,1.311395471308723,1,0.7935307536955621,0.9985656222286041,324
open,,5,final,0,0,1.2864627838560552,1,0.7936186478795799,0.998552127145701,324
open,,6,0,0,1,1.2509001819189347,0,0.4218132109044402,0.8653302866504763,324
open,,6,1000,0,1,1.6794469176241378,0,0.5110540864990172,0.969731571945091,324
open,,6,16000,0,0,1.0368040655614832,1,0.7472986777676085,0.9980433891593169,324
open,,6,2000,0,1,1.7985047126993479,0,0.6276822436178661,0.991145170025964,324
open,,6,250,0,1,1.227073814485096,0,0.3568750052378471,0.8860273377022173,324
open,,6,32000,0,0,1.4432573826108768,1,0.7914409713189244,0.9988115432421386,324
open,,6,4000,0,1,2.0519011937721867,0,0.6818064408505108,0.9963693164481467,324
open,,6,500,0,2,1.1353103293494515,0,0.39837720627115963,0.9319949769435707,324
open,,6,8000,0,1,1.0034915759566636,0,0.7293166856205215,0.9979942923636667,324
open,,6,80000,0,0,1.667881847589988,1,0.781465048105037,0.9987323731843523,324
open,,6,final,0,0,1.668447822145339,1,0.7814565713176537,0.998745660118702,324
open,,7,0,0,1,1.193132658829632,0,0.417662544463128,0.8565060389785979,324
open,,7,1000,0,1,1.5846751687055156,0,0.5153282994065962,0.952991882507346,324
open,,7,16000,0,0,1.5610508490238728,1,0.7957959397313372,0.9982737966070575,324
open,,7,2000,0,4,1.6373796840111008,0,0.650607408280331,0.9932586139273749,324
open,,7,250,0,1,1.093898954752695,0,0.3457313702230453,0.8144908164177929,324
open,,7,32000,0,0,1.4498300824071972,1,0.8052978529136474,0.9985148548332041,324
open,,7,4000,0,1,1.7525418380230011,0,0.7034581907326228,0.9953902650014266,324
open,,7,500,0,1,1.4879358819136053,0,0.4338834458934256,0.9292297379983211,324
open,,7,8000,0,0,1.1546641993847193,1,0.7707470182969132,0.997668807825326,324
open,,7,80000,0,0,1.2497372999723158,1,0.8025938705164348,0.9986192604345634,324
open,,7,final,0,0,1.2313641083363738,1,0.8026390089664835,0.9986015815654573,324
theta,,0,0,2,1,1.0272701024587927,0,0.18434610259314835,0.7499265133282009,276
theta,,0,1000,2,4,1.2073008074251184,0,0.29755222837122625,0.909916481504738,276
theta,,0,16000,2,1,1.4602766712239779,0,0.6177119181547465,0.9960784449302575,276
theta,,0,2000,2,4,1.3365194798604916,0,0.41979558121577293,0.9629204409976726,276
theta,,0,250,2,2,1.076906997759352,1,0.14884195625765181,0.7731546442262177,276
theta,,0,32000,2,1,1.3583917221107509,0,0.6346931243515282,0.9970728903307332,276
theta,,0,4000,2,1,1.3729585446602304,0,0.503261720604293,0.9874095983557559,276
theta,,0,500,2,0,1.0325253757841883,0,0.16120398989078935,0.860455789178971,276
theta,,0,8000,2,1,1.259524385490797,0,0.5793582957057635,0.9954788304798925,276
theta,,0,80000,2,2,1.3150647634865789,1,0.6406294076489905,0.9971359043262223,276
