condition,encoding,seed,group,m1,m2,bi_frac,raw_m1,raw_m2,raw_bi_frac,n_tuned,n_units,n_cells_vis,best_shift,pred_shift,rot_gain,corr_pred,corr_none,local_m1
s2,parity,8,c4,0.23893,0.03054,0.06811,0.24404,0.04164,0.09379,339,500,324,3,3,0.07278,0.2848,0.21202,0.42257
s2,parity,9,c2,0.23529,0.0303,0.06829,0.24513,0.04235,0.08317,328,500,323,0,2,-0.15662,-0.0846,0.07202,0.32346
s2,parity,9,c4,0.23529,0.0303,0.06829,0.24513,0.04235,0.08317,328,500,323,3,3,0.07756,0.27939,0.20183,0.41036
s2,const,0,c2,0.01037,0.02557,0.8879,0.04055,0.03451,0.49452,25,500,324,2,2,1.85262,0.96398,-0.88865,0.18553
s2,const,0,c4,0.01037,0.02557,0.8879,0.04055,0.03451,0.49452,25,500,324,3,3,0.69382,0.52703,-0.16679,0.3224
s2,const,1,c2,0.01053,0.02579,0.86159,0.03231,0.03574,0.64848,28,500,324,2,2,1.82017,0.94882,-0.87135,0.18633
s2,const,1,c4,0.01053,0.02579,0.86159,0.03231,0.03574,0.64848,28,500,324,3,3,0.66907,0.51224,-0.15683,0.32497
s2,const,2,c2,0.01034,0.02352,0.88526,0.04052,0.02551,0.38887,22,500,324,2,2,1.80679,0.94058,-0.86621,0.18929
s2,const,2,c4,0.01034,0.02352,0.88526,0.04052,0.02551,0.38887,22,500,324,3,3,0.65518,0.50233,-0.15286,0.32693
s2,const,3,c2,0.01052,0.02595,0.90397,0.0402,0.03913,0.55546,27,500,324,2,2,1.83023,0.94647,-0.88376,0.18815
s2,const,3,c4,0.01052,0.02595,0.90397,0.0402,0.03913,0.55546,27,500,324,3,3,0.6997,0.52246,-0.17724,0.324
s2,const,4,c2,0.01073,0.02351,0.86792,0.02861,0.02835,0.61674,22,500,324,2,2,1.82028,0.95407,-0.86621,0.18625
s2,const,4,c4,0.01073,0.02351,0.86792,0.02861,0.02835,0.61674,22,500,324,3,3,0.64506,0.48566,-0.15939,0.3244
s2,const,5,c2,0.01039,0.02741,0.90767,0.0361,0.03375,0.53107,28,500,324,2,2,1.8472,0.95198,-0.89522,0.19315
s2,const,5,c4,0.01039,0.02741,0.90767,0.0361,0.03375,0.53107,28,500,324,3,3,0.71579,0.53427,-0.18153,0.33717
s2,const,6,c2,0.01011,0.02066,0.95048,0.0303,0.02387,0.53251,20,500,324,2,2,1.86863,0.96343,-0.90519,0.19389
s2,const,6,c4,0.01011,0.02066,0.95048,0.0303,0.02387,0.53251,20,500,324,3,3,0.7284,0.56618,-0.16222,0.33723
s2,const,7,c2,0.01029,0.02614,0.86294,0.02659,0.03263,0.69193,26,500,323,2,2,1.82168,0.95348,-0.86819,0.18628
s2,const,7,c4,0.01029,0.02614,0.86294,0.02659,0.03263,0.69193,26,500,323,3,3,0.68651,0.51975,-0.16676,0.32574
s2,const,8,c2,0.01068,0.02481,0.77858,0.01922,0.03282,0.79599,24,500,324,2,2,1.85408,0.95835,-0.89574,0.19202
s2,const,8,c4,0.01068,0.02481,0.77858,0.01922,0.03282,0.79599,24,500,324,3,3,0.68345,0.52299,-0.16046,0.32837
s2,const,9,c2,0.0111,0.0249,0.81723,0.04452,0.03227,0.41197,21,500,323,2,2,1.85687,0.95466,-0.90221,0.19566
s2,const,9,c4,0.0111,0.0249,0.81723,0.04452,0.03227,0.41197,21,500,323,3,3,0.71165,0.54288,-0.16877,0.33012
s4,full,0,c2,0.29215,0.21185,0.37126,0.2953,0.22754,0.38595,457,500,324,0,2,-0.9067,-0.23174,0.67497,0.35117
s4,full,0,c4,0.29215,0.21185,0.37126,0.2953,0.22754,0.38595,457,500,324,0,3,-0.65799,-0.01028,0.64771,0.39122
s4,full,1,c2,0.30178,0.22627,0.38478,0.30294,0.24178,0.39546,458,500,324,0,2,-0.8799,-0.19403,0.68587,0.34775
s4,full,1,c4,0.30178,0.22627,0.38478,0.30294,0.24178,0.39546,458,500,324,0,3,-0.7082,-0.0485,0.65971,0.38635
s4,full,2,c2,0.30352,0.22329,0.35928,0.30804,0.23865,0.37604,460,500,324,0,2,-0.96029,-0.25254,0.70775,0.35208
s4,full,2,c4,0.30352,0.22329,0.35928,0.30804,0.23865,0.37604,460,500,324,0,3,-0.70939,-0.0388,0.67059,0.38948
s4,full,3,c2,0.30214,0.21459,0.3632,0.30699,0.22353,0.36635,450,500,324,0,2,-0.879,-0.20605,0.67296,0.35119
s4,full,3,c4,0.30214,0.21459,0.3632,0.30699,0.22353,0.36635,450,500,324,0,3,-0.66891,-0.0187,0.65021,0.39011
