condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s1,const,5,2,c2,0.5,0.9661803791829808,0.8955383777618409,0.8304043650627136,0.8955383777618409,/root/runs/hd_invariance/s1/const/seed_02/ckpt_final.pt
s1,const,5,3,c2,0.5,0.9678534364746152,0.9062922954559326,0.8276232242584228,0.9062922954559326,/root/runs/hd_invariance/s1/const/seed_03/ckpt_final.pt
s1,const,5,4,c2,0.5,0.9563390824428915,0.8651213645935059,0.8314787864685058,0.8651213645935059,/root/runs/hd_invariance/s1/const/seed_04/ckpt_final.pt
s1,const,5,5,c2,0.5,0.9716031270282375,0.9051519513130188,0.8342304229736328,0.9051519513130188,/root/runs/hd_invariance/s1/const/seed_05/ckpt_final.pt
s1,const,5,6,c2,0.5,0.9638419715905883,0.8791033148765564,0.8279777646064759,0.8791033148765564,/root/runs/hd_invariance/s1/const/seed_06/ckpt_final.pt
s1,const,5,7,c2,0.5,0.9654130158609447,0.9060017943382264,0.8079702377319335,0.9060017943382264,/root/runs/hd_invariance/s1/const/seed_07/ckpt_final.pt
s1,const,5,8,c2,0.5,0.9674287958384296,0.8930440783500672,0.8153031706809998,0.8930440783500672,/root/runs/hd_invariance/s1/const/seed_08/ckpt_final.pt
s1,const,5,9,c2,0.5,0.967489050473764,0.8963992595672607,0.8118648052215576,0.8963992595672607,/root/runs/hd_invariance/s1/const/seed_09/ckpt_final.pt
s1,full,5,0,c2,0.5,0.9828456591940851,0.9894767522811889,0.9181175351142883,0.9894767522811889,/root/runs/hd_invariance/s1/full/seed_00/ckpt_final.pt
s1,full,5,1,c2,0.5,0.9818733814079215,0.9892956972122192,0.9077319025993347,0.9892956972122192,/root/runs/hd_invariance/s1/full/seed_01/ckpt_final.pt
s1,full,5,2,c2,0.5,0.9835002647472262,0.9900593280792236,0.9219681262969971,0.9900593280792236,/root/runs/hd_invariance/s1/full/seed_02/ckpt_final.pt
s1,full,5,3,c2,0.5,0.981001022131237,0.9883010864257813,0.9053065180778503,0.9883010864257813,/root/runs/hd_invariance/s1/full/seed_03/ckpt_final.pt
s1,full,5,4,c2,0.5,0.9772500313203555,0.9887271642684936,0.9130196452140809,0.9887271642684936,/root/runs/hd_invariance/s1/full/seed_04/ckpt_final.pt
s1,full,5,5,c2,0.5,0.9769383984961607,0.9880233764648437,0.9090857863426208,0.9880233764648437,/root/runs/hd_invariance/s1/full/seed_05/ckpt_final.pt
s1,full,5,6,c2,0.5,0.9790526202248572,0.9889426350593566,0.9143621444702148,0.9889426350593566,/root/runs/hd_invariance/s1/full/seed_06/ckpt_final.pt
s1,full,5,7,c2,0.5,0.9831222349199473,0.9895708680152893,0.8970576643943786,0.9895708680152893,/root/runs/hd_invariance/s1/full/seed_07/ckpt_final.pt
s1,full,5,8,c2,0.5,0.9810560272163384,0.9891398549079895,0.9062090039253234,0.9891398549079895,/root/runs/hd_invariance/s1/full/seed_08/ckpt_final.pt
s1,full,5,9,c2,0.5,0.9808307573256995,0.9887517929077149,0.9160238027572631,0.9887517929077149,/root/runs/hd_invariance/s1/full/seed_09/ckpt_final.pt
