condition,hd_mode,k,seed,step,P0,P1,P2,P3,RA,odd,path
s4,axis,5,2,final,0.40555308394961576,0.16347887621149365,0.2674891636273961,0.16347887621149365,0.13806392032221976,0.3269577524229873,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_02/ckpt_final.pt
s4,axis,5,3,final,0.4043443436681393,0.16448768353825505,0.26668028925535026,0.16448768353825505,0.13766405441278912,0.3289753670765101,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_03/ckpt_final.pt
s4,axis,5,6,final,0.40908273263128997,0.15974607670384441,0.2714251139610207,0.15974607670384441,0.13765761867026935,0.31949215340768883,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_06/ckpt_final.pt
s4,axis,5,7,final,0.40487922793334,0.16314973162064414,0.26882130882537153,0.16314973162064414,0.13605791910796852,0.3262994632412883,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_07/ckpt_final.pt
s4,axis,5,8,final,0.41236813340488426,0.16188580260738966,0.2638602613803362,0.16188580260738966,0.1485078720245481,0.3237716052147793,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_08/ckpt_final.pt
s4,axis,5,9,final,0.41351630521703897,0.16027845625323936,0.265926782276482,0.16027845625323936,0.14758952294055705,0.3205569125064787,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_09/ckpt_final.pt
s4,const,5,0,final,0.4884050428153313,0.17313368874233426,0.16532757970000023,0.17313368874233426,0.3230774631153311,0.3462673774846685,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_00/ckpt_final.pt
s4,const,5,1,final,0.48569026526057396,0.17506275506461438,0.16418422461019716,0.17506275506461438,0.3215060406503768,0.35012551012922877,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_01/ckpt_final.pt
s4,const,5,2,final,0.47633390321652463,0.17724369947524357,0.16917869783298833,0.17724369947524357,0.30715520538353625,0.35448739895048714,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_02/ckpt_final.pt
s4,const,5,3,final,0.48405944388926203,0.17466314824361973,0.16661425962349838,0.17466314824361973,0.3174451842657637,0.34932629648723945,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_03/ckpt_final.pt
s4,const,5,6,final,0.48399419195883725,0.17420775650218928,0.1675902950367845,0.17420775650218928,0.3164038969220527,0.34841551300437856,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_06/ckpt_final.pt
s4,const,5,7,final,0.4804671952242158,0.17468794122310444,0.1701569223295752,0.17468794122310444,0.3103102728946407,0.3493758824462089,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_07/ckpt_final.pt
s4,const,5,8,final,0.48069187394393337,0.17613033901177377,0.1670474480325189,0.17613033901177377,0.31364442591141456,0.35226067802354755,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_08/ckpt_final.pt
s4,const,5,9,final,0.483739081730635,0.17465912002439601,0.16694267822057268,0.17465912002439601,0.31679640351006244,0.34931824004879203,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/const/seed_09/ckpt_final.pt
s4,full,5,0,final,0.32680448636666154,0.2296602092164065,0.21387509520052467,0.2296602092164065,0.11292939116613696,0.459320418432813,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_00/ckpt_final.pt
s4,full,5,1,final,0.3212143587933185,0.23145820424036928,0.21586923272594333,0.23145820424036928,0.10534512606737514,0.46291640848073856,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_01/ckpt_final.pt
s4,full,5,2,final,0.3218970742127211,0.23401271950700855,0.21007748677326146,0.23401271950700855,0.1118195874394597,0.4680254390140171,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_02/ckpt_final.pt
s4,full,5,3,final,0.32229495115024087,0.23023485165701732,0.21723534553572452,0.23023485165701732,0.10505960561451635,0.46046970331403464,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_03/ckpt_final.pt
s4,full,5,6,final,0.3192899066553309,0.2312099387511539,0.21829021584236175,0.2312099387511539,0.10099969081296913,0.4624198775023078,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_06/ckpt_final.pt
