condition,seed,steps,srsa_euclid,srsa_city,loss,manifold_id,pca_variance_2d,mds_stress,mean_field_coherence,DTG_series,observation_discriminability
S2,seed_01,40000,0.6609206162230064,0.6689736838648148,0.0033354577608406544,4.919048698165876,0.3542492985725403,0.3598112674781643,9.618032795655878,-0.008053067641808465,0.33600394439152487
S2,seed_01,41000,0.6627507549481403,0.6691952269232259,0.0033252458088099957,5.233725996382166,0.3585743308067322,0.3638952894692389,7.032696318961275,-0.006444471975085575,0.33600394439152487
S2,seed_01,42000,0.6625372145973466,0.6689787541992397,0.002945511369034648,5.55059144323229,0.33983540534973145,0.3693930171733317,6.848034027017648,-0.006441539601893087,0.33600394439152487
S2,seed_01,43000,0.6679343052917049,0.674344097693948,0.002855278318747878,5.485716240229659,0.3509042263031006,0.37454574975581606,7.725049057620285,-0.006409792402243042,0.33600394439152487
S2,seed_01,44000,0.6622614423650807,0.6694451856981015,0.002652989234775305,5.493315602524806,0.3505597710609436,0.372440184485003,9.367279143951631,-0.007183743333020853,0.33600394439152487
S2,seed_01,45000,0.6639809371412532,0.6705805734995991,0.0026717660948634148,5.3862694741347426,0.3519848585128784,0.3661249676967557,9.839009469327676,-0.006599636358345928,0.33600394439152487
S2,seed_01,46000,0.6596844961247766,0.6716361185087464,0.0026417728513479233,5.82420278402733,0.3396892845630646,0.3822301625684251,12.348110783798369,-0.01195162238396974,0.33600394439152487
S2,seed_01,47000,0.6625512996857064,0.6725767168003777,0.002500755013898015,5.4939709456732295,0.34201955795288086,0.3763650745550281,9.051759507187258,-0.010025417114671309,0.33600394439152487
S2,seed_01,48000,0.6641680998454097,0.6715547773653553,0.002460079500451684,5.478094502184504,0.34097349643707275,0.37969680607253437,6.468271065585467,-0.007386677519945595,0.33600394439152487
S2,seed_01,49000,0.6543662185425372,0.6660664618294191,0.0025754100643098354,5.315964025251426,0.33278346061706543,0.3863828503310947,8.667585308360653,-0.011700243286881906,0.33600394439152487
S2,seed_01,50000,0.6628996206173129,0.6682387066689551,0.002612388925626874,5.352617751580051,0.33649569749832153,0.38291781331816216,9.250442970180677,-0.005339086051642239,0.33600394439152487
